,X,Y,Z,W,X.1,Y.1,Z.1,Frame number
199,0.584946,0.654689,0.397868,-0.266311,-1.026702,0.413456,1.089545,1600
200,0.584852,0.654383,0.398301,-0.266623,-1.026702,0.413432,1.089528,1600
201,0.585036,0.654851,0.397536,-0.266211,-1.026695,0.41345,1.089513,1600
202,0.584692,0.653809,0.39904,-0.267275,-1.026719,0.413416,1.08951,1600
203,0.584958,0.65475,0.397761,-0.266297,-1.026694,0.413439,1.089514,1600
204,0.58489,0.653835,0.398762,-0.267192,-1.026709,0.41341,1.0895,1633
205,0.584837,0.654596,0.398091,-0.266444,-1.026705,0.413432,1.089535,1633
206,0.584701,0.652944,0.399954,-0.268003,-1.026717,0.413374,1.089482,1633
207,0.584896,0.654768,0.397829,-0.266285,-1.026703,0.413447,1.089536,1633
208,0.584794,0.654053,0.39872,-0.266933,-1.026719,0.413404,1.089516,1633
209,0.584544,0.653007,0.400094,-0.267983,-1.026736,0.41337,1.089492,1633
210,0.584823,0.655065,0.397462,-0.266264,-1.026683,0.413466,1.089522,1633
211,0.584895,0.654751,0.397881,-0.266252,-1.0267,0.413449,1.089531,1666
212,0.584685,0.653208,0.399697,-0.267779,-1.026738,0.413384,1.089487,1666
213,0.584812,0.653952,0.39873,-0.267126,-1.026709,0.413415,1.089505,1666
214,0.585003,0.654975,0.397401,-0.26618,-1.026681,0.413462,1.08953,1666
215,0.584747,0.654361,0.398314,-0.266886,-1.026691,0.413444,1.089517,1666
216,0.584962,0.655082,0.397366,-0.26606,-1.026685,0.413464,1.089528,1666
217,0.584885,0.654359,0.398306,-0.266602,-1.026708,0.413436,1.089523,1666
218,0.584884,0.654082,0.398477,-0.267026,-1.026718,0.413419,1.089489,1700
219,0.584967,0.654875,0.397639,-0.266149,-1.026695,0.413444,1.089536,1700
220,0.584746,0.654131,0.398565,-0.267078,-1.026705,0.413433,1.089502,1700
221,0.584699,0.65362,0.399173,-0.267525,-1.026718,0.413402,1.089485,1700
222,0.585049,0.654986,0.397397,-0.266059,-1.026681,0.413457,1.089525,1700
223,0.584895,0.654594,0.398003,-0.266455,-1.026702,0.413438,1.089521,1700
224,0.584882,0.653967,0.398621,-0.267098,-1.026713,0.413419,1.089494,1733
225,0.584942,0.65455,0.397981,-0.266494,-1.026702,0.413433,1.08951,1733
226,0.584886,0.654559,0.398017,-0.26654,-1.026712,0.413431,1.089505,1733
227,0.58497,0.655068,0.397359,-0.266086,-1.026682,0.413456,1.089524,1733
228,0.584961,0.655065,0.397379,-0.266083,-1.026679,0.413462,1.089541,1733
229,0.58478,0.653491,0.399295,-0.267481,-1.02673,0.413406,1.089506,1733
230,0.585007,0.655352,0.39708,-0.265721,-1.026689,0.413461,1.089553,1733
231,0.584715,0.653829,0.399081,-0.267114,-1.02673,0.413404,1.089506,1766
232,0.584837,0.653866,0.39882,-0.267148,-1.0267,0.413407,1.089496,1766
233,0.584862,0.65479,0.397841,-0.266289,-1.02669,0.413449,1.089538,1766
234,0.584973,0.655,0.397436,-0.266132,-1.026691,0.413467,1.089544,1766
235,0.584897,0.654775,0.397752,-0.266381,-1.026685,0.413452,1.089525,1766
236,0.585085,0.655842,0.396407,-0.265346,-1.02667,0.413494,1.089545,1766
237,0.584794,0.654188,0.398513,-0.26691,-1.026712,0.413425,1.089514,1766
238,0.584823,0.654063,0.398549,-0.267098,-1.026709,0.413422,1.089488,1800
239,0.584887,0.654342,0.398255,-0.266716,-1.026703,0.413422,1.08949,1800
240,0.585009,0.654743,0.397665,-0.266344,-1.026686,0.413466,1.089526,1800
241,0.584852,0.654781,0.397743,-0.266478,-1.026697,0.413458,1.089512,1800
242,0.585,0.655302,0.397097,-0.265834,-1.026678,0.413477,1.089533,1800
243,0.584756,0.654122,0.398571,-0.267069,-1.026714,0.413429,1.089499,1800
244,0.584677,0.653672,0.399175,-0.267442,-1.026722,0.413411,1.089512,1833
245,0.584857,0.654988,0.397608,-0.26616,-1.026698,0.41346,1.089543,1833
246,0.584982,0.654775,0.397703,-0.266267,-1.026691,0.413447,1.089522,1833
247,0.585016,0.654989,0.397441,-0.266059,-1.026698,0.413461,1.089526,1833
248,0.58502,0.654794,0.397654,-0.266211,-1.026696,0.413447,1.089516,1833
249,0.584917,0.654628,0.397916,-0.266453,-1.026693,0.413445,1.089515,1833
250,0.584837,0.654986,0.397618,-0.266193,-1.02669,0.413452,1.089535,1833
251,0.584887,0.655021,0.397564,-0.266079,-1.02669,0.413452,1.089545,1866
252,0.584881,0.654951,0.397638,-0.266153,-1.026688,0.413452,1.089549,1866
253,0.585052,0.655033,0.397287,-0.266099,-1.026684,0.413456,1.089534,1866
254,0.584829,0.653957,0.398705,-0.267114,-1.026713,0.413419,1.08949,1866
255,0.584728,0.654427,0.398347,-0.266716,-1.026709,0.413435,1.089525,1866
256,0.584881,0.655106,0.397433,-0.266077,-1.026688,0.413455,1.089527,1866
257,0.584859,0.654223,0.39837,-0.266896,-1.026699,0.413429,1.08951,1866
258,0.584743,0.6537,0.399086,-0.267362,-1.026706,0.413406,1.089496,1900
259,0.585059,0.654889,0.397432,-0.266223,-1.026684,0.413454,1.089525,1900
260,0.584877,0.654457,0.398111,-0.266669,-1.026684,0.413434,1.08952,1900
261,0.584883,0.654666,0.397963,-0.266364,-1.026695,0.413431,1.089538,1900
262,0.584948,0.65448,0.398033,-0.266573,-1.026695,0.413434,1.08951,1900
263,0.584776,0.655367,0.397206,-0.266005,-1.026677,0.413465,1.089553,1900
264,0.58484,0.654401,0.398183,-0.266782,-1.026699,0.413436,1.089509,1933
265,0.58476,0.653156,0.399624,-0.267851,-1.026728,0.413382,1.089481,1933
266,0.584779,0.654339,0.398392,-0.266754,-1.026707,0.41342,1.089523,1933
267,0.58489,0.655809,0.396728,-0.265378,-1.026689,0.413465,1.089559,1933
268,0.584828,0.654858,0.397701,-0.266405,-1.026691,0.413452,1.089517,1933
269,0.585063,0.655707,0.396599,-0.265439,-1.026678,0.413472,1.089539,1933
270,0.584904,0.655076,0.397429,-0.266106,-1.02668,0.413449,1.08953,1933
271,0.585098,0.655402,0.396855,-0.265734,-1.026679,0.413471,1.089538,1966
